date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:16	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:15%20GMT	https://www.kula.ai/robots.txt		(from )
19:16:16	64015/64015	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2013:46:15%20GMT	https://www.kula.ai/	C:/Users/User/Desktop/kula.ai/www.kula.ai/index.html	(from )
19:16:16	361597/361597	---M-Z	200	added ('OK')	text/css	etag:%224203f345d8b7f5b3f775b1ccdce76cfd%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/css/kula-290bcb.webflow.4a5b76d94.min.css	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/css/kula-290bcb.webflow.4a5b76d94.min.css	(from https://www.kula.ai/)
19:16:17	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/User/Desktop/kula.ai/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.kula.ai/)
19:16:17	1454/1454	---M--	200	added ('OK')	image/png	etag:%22d426ccbdac7df500661a836df3a330cb%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/62efcbdb0e99ef67de017b8e_Frame%2012.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/62efcbdb0e99ef67de017b8e_Frame%2012.png	(from https://www.kula.ai/)
19:16:17	40671/40671	---M--	200	added ('OK')	image/png	etag:%220fcc1384772d455c75ee1746e8824c82%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/62efcbe40b52a66c04de66ce_Frame%2011.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/62efcbe40b52a66c04de66ce_Frame%2011.png	(from https://www.kula.ai/)
19:16:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Jan%202023%2013:46:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/User/Desktop/kula.ai/www.googletagmanager.com/gtm.45445.delayed	(from https://www.kula.ai/)
19:16:18	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Jan%202023%2013:46:17%20GMT	http://www.kula.ai/blog/seed-funding	C:/Users/User/Desktop/kula.ai/www.kula.ai/blog/seed-funding.5.delayed	(from https://www.kula.ai/)
19:16:18	24616/24616	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2013:46:17%20GMT	https://www.kula.ai/blog/seed-funding	C:/Users/User/Desktop/kula.ai/www.kula.ai/blog/seed-funding.html	(from https://www.kula.ai/)
19:16:18	46850/46850	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2013:46:17%20GMT	https://www.kula.ai/kula-outreach	C:/Users/User/Desktop/kula.ai/www.kula.ai/kula-outreach.html	(from https://www.kula.ai/)
19:16:19	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sat,%2021%20Jan%202023%2013:46:18%20GMT	https://www.kula.ai/circles	C:/Users/User/Desktop/kula.ai/www.kula.ai/circles	(from https://www.kula.ai/)
19:16:19	73540/73540	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2013:46:18%20GMT	https://www.kula.ai/story	C:/Users/User/Desktop/kula.ai/www.kula.ai/story.html	(from https://www.kula.ai/)
19:16:19	70298/70298	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2013:46:18%20GMT	https://www.kula.ai/blog	C:/Users/User/Desktop/kula.ai/www.kula.ai/blog.html	(from https://www.kula.ai/)
19:16:20	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:18%20GMT	https://www.kula.ai/resources/outbound-recruiting-playbook	C:/Users/User/Desktop/kula.ai/www.kula.ai/resources/outbound-recruiting-playbook	(from https://www.kula.ai/)
19:16:20	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:19%20GMT	https://www.kula.ai/book-demo	C:/Users/User/Desktop/kula.ai/www.kula.ai/book-demo	(from https://www.kula.ai/)
19:16:21	27230/27230	---M--	200	added ('OK')	image/png	etag:%2254c3d8204eb3a60be42d63c0e59dd54d%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630e163437a9cbc6e7523d54_lummo-shop-logo.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630e163437a9cbc6e7523d54_lummo-shop-logo.png	(from https://www.kula.ai/)
19:16:21	23836/23836	---M--	200	added ('OK')	image/png	etag:%229751c840149de6435fa0fc5f298c8577%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630e15a04e0ef58556370806_Logo%4010x.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630e15a04e0ef58556370806_Logo@10x.png	(from https://www.kula.ai/)
19:16:24	2488434/2488434	---M--	200	added ('OK')	image/png	etag:%22fabb4a569cdd95f8947275c3f74b4201%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/6307b6cb23f817485e754ba1_Frame%2023.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/6307b6cb23f817485e754ba1_Frame%2023.png	(from https://www.kula.ai/)
19:16:25	1639097/1639097	---M--	200	added ('OK')	image/png	etag:%22ddd2a8e4625e97e7a5a6228a3f068b1c%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/6307b2fbfa9f10082210e8dd_im.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/6307b2fbfa9f10082210e8dd_im.png	(from https://www.kula.ai/)
19:16:26	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:25%20GMT	https://www.kula.ai/%22https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/6341303c29c5340961dc9ae6_Mco-1-poster-00001.jpg%22	C:/Users/User/Desktop/kula.ai/www.kula.ai/_https_/global-uploads.webflow.com/62efc7cb58ad153bfb146988/6341303c29c5340961dc9ae6_Mco-1-poster-00001.jpg_	(from https://www.kula.ai/)
19:16:26	2448331/2448331	---M--	200	added ('OK')	image/png	etag:%2250cae0047f7659600eae88ee92bcb3c8%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630cbfe1db67cfefc1a55580_ot.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630cbfe1db67cfefc1a55580_ot.png	(from https://www.kula.ai/)
19:16:27	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sat,%2021%20Jan%202023%2013:46:26%20GMT	https://www.kula.ai/%22https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63413ff244f1dc616b7148a0_Mco-poster-00001.jpg%22	C:/Users/User/Desktop/kula.ai/www.kula.ai/_https_/global-uploads.webflow.com/62efc7cb58ad153bfb146988/63413ff244f1dc616b7148a0_Mco-poster-00001.jpg_	(from https://www.kula.ai/)
19:16:27	1971707/1971707	---M--	200	added ('OK')	image/png	etag:%2278312d207aadec9072cde8dac0e3c203%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630db209a7ad3f0c0cc274a5_follow-yp-design.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630db209a7ad3f0c0cc274a5_follow-yp-design.png	(from https://www.kula.ai/)
19:16:27	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:26%20GMT	https://www.kula.ai/%22https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63455a67996ba248148c4e31_add-options%20(3	C:/Users/User/Desktop/kula.ai/www.kula.ai/_https_/global-uploads.webflow.com/62efc7cb58ad153bfb146988/63455a67996ba248148c4e31_add-options%20(3	(from https://www.kula.ai/)
19:16:30	891388/891388	---M--	200	added ('OK')	image/png	etag:%22d4a61abb6f67603f30d88bf686390fda%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630b0fb6083655ed2c004ebb_out-2.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630b0fb6083655ed2c004ebb_out-2.png	(from https://www.kula.ai/)
19:16:30	2257286/2257286	---M--	200	added ('OK')	image/png	etag:%224d83c0ff26d9211bb20eeb1411616ec7%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63078dd2236b92a9cbeb9f4c_cir.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/63078dd2236b92a9cbeb9f4c_cir.png	(from https://www.kula.ai/)
19:16:30	16/16	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2021%20Jan%202023%2013:46:29%20GMT	https://www.kula.ai/%22https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/634522ad8a89ddfab738c792_circle-screen-poster-00001.jpg%22	C:/Users/User/Desktop/kula.ai/www.kula.ai/_https_/global-uploads.webflow.com/62efc7cb58ad153bfb146988/634522ad8a89ddfab738c792_circle-screen-poster-00001.jpg_	(from https://www.kula.ai/)
19:16:30	1036970/1036970	---M--	200	added ('OK')	image/png	etag:%2244eab8494a99db1dd080a62dfca98d5f%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630db3272de75c5e8c92931f_getintro.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630db3272de75c5e8c92931f_getintro.png	(from https://www.kula.ai/)
19:16:30	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:29%20GMT	https://www.kula.ai/%22https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/634559d23a74fd058882bc4c_New-file%20(3	C:/Users/User/Desktop/kula.ai/www.kula.ai/_https_/global-uploads.webflow.com/62efc7cb58ad153bfb146988/634559d23a74fd058882bc4c_New-file%20(3	(from https://www.kula.ai/)
19:16:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2021%20Jan%202023%2013:46:30%20GMT	https://www.kula.ai/%22https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63455a2d7f2bcd7b198691ad_New-file-[copy]-[copy]%20(2	C:/Users/User/Desktop/kula.ai/www.kula.ai/_https_/global-uploads.webflow.com/62efc7cb58ad153bfb146988/63455a2d7f2bcd7b198691ad_New-file-[copy]-[copy]%20(2	(from https://www.kula.ai/)
19:16:31	1390482/1390482	---M--	200	added ('OK')	image/png	etag:%22d5dd7f3937051bef6515ba2389c98a60%22	https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/630b18fe24bca41b5802ee37_cir-6.png	C:/Users/User/Desktop/kula.ai/global-uploads.webflow.com/62efc7cb58ad153bfb146988/630b18fe24bca41b5802ee37_cir-6.png	(from https://www.kula.ai/)
