HTTrack3.49-2+htsswf+htsjava launched on Sat, 21 Jan 2023 19:16:15 at https://www.kula.ai/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.kula.ai/ -O1 "C:\Users\User\Desktop\kula.ai" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:16:16	Error: 	"Bad Gateway" (502) after 2 retries at link https://www.kula.ai/robots.txt (from primary/primary)
19:16:38	Error: 	"Bad Request" (400) at link https://www.googletagmanager.com/gtm.js?id= (from https://www.kula.ai/)
19:16:47	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/circles (from https://www.kula.ai/)
19:17:43	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/resources/outbound-recruiting-playbook (from https://www.kula.ai/)
19:17:46	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/book-demo (from https://www.kula.ai/)
19:17:49	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/6341303c29c5340961dc9ae6_Mco-1-poster-00001.jpg" (from https://www.kula.ai/)
19:18:05	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63413ff244f1dc616b7148a0_Mco-poster-00001.jpg" (from https://www.kula.ai/)
19:18:09	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63455a67996ba248148c4e31_add-options (3 (from https://www.kula.ai/)
19:18:09	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/634522ad8a89ddfab738c792_circle-screen-poster-00001.jpg" (from https://www.kula.ai/)
19:18:11	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/634559d23a74fd058882bc4c_New-file (3 (from https://www.kula.ai/)
19:18:27	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/63455a2d7f2bcd7b198691ad_New-file-[copy]-[copy] (2 (from https://www.kula.ai/)
19:18:31	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/privacy-policy (from https://www.kula.ai/)
19:18:35	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/terms-of-use (from https://www.kula.ai/)
19:18:37	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/cookie-policy (from https://www.kula.ai/)
19:18:39	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/href (from https://www.kula.ai/)
19:18:50	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/blog/kula-pre-seed-funding (from https://www.kula.ai/blog/seed-funding)
19:18:56	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/blog/href (from https://www.kula.ai/blog/seed-funding)
19:18:59	Warning: 	Retry after error 502 (Bad Gateway) at link https://www.kula.ai/"https://global-uploads.webflow.com/62efc7cb58ad153bfb146988/6341392d3ef0a554df36f2f4_blueprints-poster-00001.jpg" (from https://www.kula.ai/kula-outreach)
